Element name	Endeca dmod name	Facet on element?	Indexed in
Access	Access	no	not indexed
Access Facet	Access Facet	yes	not indexed
Access Restrictions	Access Restriction	no	not indexed
Author	Author	yes	Author, Author_Brief, Keyword
Availability	Availability	yes	not indexed
Biographical Sketch	Biographical Sketch	no	Keyword, Keyword_Brief
Call Number	Call Number	no	not indexed
Call Number Range	Call Number Range	yes	not indexed
Call Number Sort	Call Number Sort	no	not indexed
Cartographic Data	Cartographic Data	no	Keyword
Circulation Level	Circulation Level	no	not indexed
Class Schemes	Class Schemes	no	not indexed
Collective Uniform Title	Collective Uniform Title	no	not indexed
Company	Company	yes	Keyword, Keyword_Brief
Constituent Unit Linking	Constituent Unit Linking	no	Keyword
Copyright	Copyright	no	not indexed
Copyright Statement	Copyright Statement	no	not indexed
Cumulative Indexes	Cumulative Indexes	no	not indexed
Current Frequency	Current Frequency	no	not indexed
DateCataloged	DateCataloged	no	not indexed
Digital Collection	Digital Collection	yes	Keyword, Keyword_Brief
Director	Director	no	Author, Author_Brief, Keyword, Keyword_Brief
Distribution Statement	Distribution Statement	no	not indexed
Distributor	Distributor	no	Keyword, Publisher
DocType	DocType	no	not indexed
Donor	Donor	no	Keyword
EAD Access Restrictions	EAD Access Restrictions	no	not indexed
EAD Acquisitions Info	EAD Acquisitions Info	no	not indexed
EAD Biographical History	EAD Biographical History	no	Keyword
EAD Element Flag	EAD Element Flag	no	not indexed
EAD Element List	EAD Element List	no	not indexed
EAD ID	EAD ID	no	Keyword
EAD Overview	EAD Overview	no	Keyword
EAD Preferred Citation	EAD Preferred Citation	no	not indexed
EAD Scope Content	EAD Scope Content	no	Keyword
EAD Unit Title	EAD Unit Title	no	Keyword
EAD Use Restrictions	EAD Use Restrictions	no	not indexed
Earlier Title	Earlier Title	no	Keyword, Keyword_Brief, Title
Edition	Edition	no	Keyword
Finding Aid URL	Finding Aid URL	no	not indexed
Format	Format	yes	not indexed
Former Frequency	Former Frequency	no	not indexed
Genre	Subject: Genre	yes	Keyword, Keyword_Brief, Subject
Has Supplement Linking	Has Supplement Linking	no	Keyword
Holdings Note	HoldingsNote	no	not indexed
Host Item Linking	Host Item Linking	no	Keyword, Keyword_Brief
ICE Chapter Author	ICE Chapter Author	no	Author, Keyword
ICE Chapter Title	ICE Chapter Title	no	Keyword
Imprint	Imprint	no	not indexed
Indexed Notes	Indexed Notes	no	Keyword
Institution	Institution	yes	not indexed
ISBN	ISBN	no	ISBN, Keyword
ISSN	ISSN	no	ISBN, Keyword
Item Due Date	ItemDueDate	no	not indexed
Item ID	Item ID	no	not indexed
Item Notes	ItemNotes	no	not indexed
Item Types	ItemTypes	no	not indexed
Journal Earlier Title	Journal Earlier Title	no	Journal_Concise, Journal_Title
Journal Later Title	Journal Later Title	no	Journal_Concise, Journal_Title
Journal Title Abbreviation	Journal Title Abbreviation	no	Journal_Concise, Journal_Title
Journal Title Index	Journal Title Index	no	Journal_Concise, Journal_Title, Title_Brief
Journal Uniform Title	Journal Uniform Title	no	Journal_Concise, Journal_Title
Journal Varying Title	Journal Varying Title	no	Journal_Title
Language	Language	yes	not indexed
Later Title	Later Title	no	Keyword, Keyword_Brief, Title
Libraries	Libraries	no	not indexed
Linking ISSN	Linking_ISSN	no	ISBN
Local System Number	Local System Number	no	not indexed
LocalId	LocalId	no	Keyword
Location	Location	yes	not indexed
Location property	Location_property	no	not indexed
Main Author	Main Author	no	Author, Author_Brief, Keyword, Keyword_Brief
Main Series Linking	Main Series Linking	no	not indexed
Main Title	Main Title	no	Keyword, Keyword_Brief, Title, Title_Brief
Main Uniform Title	Main Uniform Title	no	Keyword, Keyword_Brief, Title, Title_Brief
Manufacturer	Manufacturer	no	Keyword, Publisher
Manufacturer Statement	Manufacturer Statement	no	not indexed
Material	Material	no	Keyword
Material Details	Material Details	no	not indexed
Medical Subject	Medical Subject: Topic	yes	not indexed
Most Recently Arrived	Most Recently Arrived	no	not indexed
Musical Presentation	Musical Presentation	no	not indexed
Name Title	Name Title	no	not indexed
New Titles	New Titles	yes	not indexed
Notes	Notes	no	not indexed
OCLCNumber	OCLCNumber	no	Keyword
Organization	Organization	no	not indexed
Other Author Translation	Other Author Translation	no	Author, Keyword, Keyword_Brief
Other Authors	Other Authors	no	Author, Keyword, Keyword_Brief
Other Edition	Other Edition	no	not indexed
Other Format	Other Format	no	not indexed
Other LocalId	Other LocalId	no	Keyword
Other Title Translation	Other Title Translation	no	Keyword, Keyword_Brief, Title
Other Titles	Other Titles	no	Keyword, Keyword_Brief, Title
Performer Credits	Performer Credits	no	Author, Author_Brief, Keyword, Keyword_Brief
Primary Source	Primary Source	yes	not indexed
Primary URL	Primary URL	no	not indexed
Producer	Producer	no	Keyword, Publisher
Product	Product	yes	Keyword, Keyword_Brief
Production Credits	Production Credits	no	Author, Author_Brief, Keyword, Keyword_Brief
Production Statement	Production Statement	no	not indexed
PubDateSort	PubDateSort	no	not indexed
Publication Year	Publication Year	yes	not indexed
Published	Published	no	not indexed
Publisher	Publisher	no	Keyword, Keyword_Brief, Publisher
Publisher Number	Publisher Number	no	Keyword
Region	Subject: Region	yes	not indexed
Related Collections	Related Collections	no	Keyword, Keyword_Brief
Repository URL	Repository URL	no	not indexed
Rollup	Rollup	no	not indexed
Secondary URL	Secondary URL	no	not indexed
Serial Holdings Summary	SerialHoldingsSummary	no	not indexed
Series	Series	no	not indexed
Series ISSN	Series ISSN	no	ISBN
Series Statement	Series Statement	no	Keyword, Keyword_Brief, Title
Series Title Index	Series Title Index	no	Keyword, Keyword_Brief, Title
SharedRecordFlag	SharedRecordFlag	no	not indexed
Sound Recording Imprint	Sound Recording Imprint	no	Keyword, Keyword_Brief
Source	Source	yes	not indexed
Source of Acquisition	Source of Acquisition	no	not indexed
Statement of Responsibility	Statement of Responsibility	no	Author, Keyword
Statuses	Statuses	no	not indexed
Subject	Subject: Subject	yes	not indexed
Subject Headings	Subject Headings	yes	Keyword, Keyword_Brief, Subject
Subjects	Subjects	no	not indexed
Subseries Linking	Subseries Linking	no	Keyword
Summary	Summary	no	Keyword
Supplement to Linking	Supplement to Linking	no	not indexed
Syndetics ISBN	Syndetics_ISBN	no	not indexed
System Details	System Details	no	not indexed
Table of Contents	Table of Contents	no	Keyword
Table of Contents author index	Table of Contents author index	no	not indexed
Thumbnail URL	Thumbnail URL	no	not indexed
Time Period	Subject: Time Period	yes	not indexed
Title Index	Title Index	no	Keyword, Keyword_Brief, Title
Title Sort	Title Sort	no	not indexed
Tracking Tag	Tracking Tag	no	not indexed
Translated as Linking	Translated as Linking	no	Keyword, Keyword_Brief
Translation of Linking	Translation of Linking	no	Keyword, Keyword_Brief
Troubleshooting	Troubleshooting	no	not indexed
Uncontrolled Author	Uncontrolled Author	no	not indexed
Uncontrolled Subject	Uncontrolled Subject	no	Keyword, Keyword_Brief
Uniform Title	Uniform Title	no	Keyword, Keyword_Brief, Title
UniqueId	UniqueId	no	not indexed
UPC	UPC	no	ISBN, Keyword
Varying Titles	Varying Titles	no	Keyword, Keyword_Brief, Title, Title_Brief
Volumes	Volumes	no	not indexed
