fieldname,type,stored,arity,sort,fieldname with suffix
access_type,tf,stored,"","",access_type_tf_stored
alt_edition_author,t,"","","",alt_edition_author_t
alt_edition_title,t,"","","",alt_edition_title_t
alt_edition_work_indexed,t,"","","",alt_edition_work_indexed_t
alt_edition_isbn,isbn,"","","",alt_edition_isbn_isbn
alt_edition_issn,num,"","","",alt_edition_issn_num
alt_edition_other_ids,str,"","","",alt_edition_other_ids_str
author_facet,f,"","","",author_facet_f
available,f,stored,"","",available_f_stored
barcodes,str,stored,"","",barcodes_str_stored
biographical_sketch,t,stored,"","",biographical_sketch_t_stored
cartographic_data,t,stored,"","",cartographic_data_t_stored
copyright_year,i,stored,"","",copyright_year_i_stored
data_source_author,t,"","","",data_source_author_t
data_source_title,t,"","","",data_source_title_t
data_source_work_indexed,t,"","","",data_source_work_indexed_t
data_source_isbn,isbn,"","","",data_source_isbn_isbn
data_source_issn,num,"","","",data_source_issn_num
data_source_other_ids,str,"","","",data_source_other_ids_str
date_cataloged,dt,stored,single,"",date_cataloged_dt_stored_single
description_digital_file,t,stored,"","",description_digital_file_t_stored
description_general,t,stored,"","",description_general_t_stored
description_projection,t,stored,"","",description_projection_t_stored
description_sound,t,stored,"","",description_sound_t_stored
description_video,t,stored,"","",description_video_t_stored
earlier_author,t,"","","",earlier_author_t
earlier_title,t,"","","",earlier_title_t
earlier_work_indexed,t,"","","",earlier_work_indexed_t
earlier_isbn,isbn,"","","",earlier_isbn_isbn
earlier_issn,num,"","","",earlier_issn_num
earlier_other_ids,str,"","","",earlier_other_ids_str
edition_indexed,t,"","","",edition_indexed_t
format,f,stored,"","",format_f_stored
genre_headings,tf,stored,"","",genre_headings_tf_stored
has_supplement_author,t,"","","",has_supplement_author_t
has_supplement_title,t,"","","",has_supplement_title_t
has_supplement_work_indexed,t,"","","",has_supplement_work_indexed_t
has_supplement_isbn,isbn,"","","",has_supplement_isbn_isbn
has_supplement_issn,num,"","","",has_supplement_issn_num
has_supplement_other_ids,str,"","","",has_supplement_other_ids_str
holdings,t,stored,"","",holdings_t_stored
holdings_note,t,stored,"","",holdings_note_t_stored
host_item_author,t,"","","",host_item_author_t
host_item_title,t,"","","",host_item_title_t
host_item_work_indexed,t,"","","",host_item_work_indexed_t
host_item_isbn,isbn,"","","",host_item_isbn_isbn
host_item_issn,num,"","","",host_item_issn_num
host_item_other_ids,str,"","","",host_item_other_ids_str
id,str,stored,single,"",id_str_stored_single
imprint_main,str,stored,"","",imprint_main_str_stored
imprint_multiple,str,stored,"","",imprint_multiple_str_stored
included_author,t,"","","",included_author_t
included_title,t,"","","",included_title_t
included_work_indexed,t,"","","",included_work_indexed_t
included_isbn,isbn,"","","",included_isbn_isbn
included_issn,num,"","","",included_issn_num
included_other_ids,str,"","","",included_other_ids_str
institution,f,stored,"","",institution_f_stored
isbn_number,isbn,stored,"","",isbn_number_isbn_stored
isbn_qualifying_info,t,stored,"","",isbn_qualifying_info_t_stored
issn_linking,num,stored,"","",issn_linking_num_stored
issn_primary,num,stored,"","",issn_primary_num_stored
issn_series,num,stored,"","",issn_series_num_stored
issued_with_author,t,"","","",issued_with_author_t
issued_with_title,t,"","","",issued_with_title_t
issued_with_work_indexed,t,"","","",issued_with_work_indexed_t
issued_with_isbn,isbn,"","","",issued_with_isbn_isbn
issued_with_issn,num,"","","",issued_with_issn_num
issued_with_other_ids,str,"","","",issued_with_other_ids_str
items,str,stored,"","",items_str_stored
items_location,tf,stored,"","",items_location_tf_stored
language,f,stored,"","",language_f_stored
later_author,t,"","","",later_author_t
later_title,t,"","","",later_title_t
later_work_indexed,t,"","","",later_work_indexed_t
later_isbn,isbn,"","","",later_isbn_isbn
later_issn,num,"","","",later_issn_num
later_other_ids,str,"","","",later_other_ids_str
lcc_callnum_classification,tf,stored,"","",lcc_callnum_classification_tf_stored
local_id,str,stored,single,"",local_id_str_stored_single
local_id_other,str,stored,"","",local_id_other_str_stored
location_hierarchy,f,stored,"","",location_hierarchy_f_stored
misc_id_indexed,str,"","","",misc_id_indexed_str
most_recent,t,stored,"","",most_recent_t_stored
names_contributor,t,"","","",names_contributor_t
names_creator,t,"","","",names_creator_t
names_director,t,"","","",names_director_t
names_distributor,t,"","","",names_distributor_t
names_editor,t,"","","",names_editor_t
names_manufacturer,t,"","","",names_manufacturer_t
names_no_rel,t,"","","",names_no_rel_t
names_other,t,"","","",names_other_t
names_owner,t,"","","",names_owner_t
names_publisher,t,"","","",names_publisher_t
names_uncategorized,t,"","","",names_uncategorized_t
note_admin_history,t,stored,"","",note_admin_history_t_stored
note_binding_indexed,t,"","","",note_binding_indexed_t
note_biographical,t,stored,"","",note_biographical_t_stored
note_dissertation,t,stored,"","",note_dissertation_t_stored
note_general_indexed,t,"","","",note_general_indexed_t
note_issuance,t,stored,"","",note_issuance_t_stored
note_local_indexed,t,"","","",note_local_indexed_t
note_performer_credits_indexed,t,"","","",note_performer_credits_indexed_t
note_production_credits,t,stored,"","",note_production_credits_t_stored
note_related_work_indexed,t,"","","",note_related_work_indexed_t
note_reproduction_indexed,t,"","","",note_reproduction_indexed_t
note_scale,t,stored,"","",note_scale_t_stored
note_summary,t,stored,"","",note_summary_t_stored
note_toc,t,stored,"","",note_toc_t_stored
note_with,t,stored,"","",note_with_t_stored
notes_indexed,t,stored,"","",notes_indexed_t_stored
notes_serials_summary,t,stored,"","",notes_serials_summary_t_stored
oclc_number,str,stored,single,"",oclc_number_str_stored_single
oclc_number_old,str,stored,"","",oclc_number_old_str_stored
organization,t,stored,"","",organization_t_stored
physical_description_indexed,t,"","","",physical_description_indexed_t
physical_description_details_indexed,t,"","","",physical_description_details_indexed_t
physical_media,tf,stored,"","",physical_media_tf_stored
publication_year,i,stored,single,sort,publication_year_isort_stored_single
publisher,t,"","","",publisher_t
publisher_number,str,stored,"","",publisher_number_str_stored
related_author,t,"","","",related_author_t
related_title,t,"","","",related_title_t
related_work_indexed,t,"","","",related_work_indexed_t
related_isbn,isbn,"","","",related_isbn_isbn
related_issn,num,"","","",related_issn_num
related_other_ids,str,"","","",related_other_ids_str
resource_type,tf,stored,"","",resource_type_tf_stored
reverse_shelfkey,t,stored,single,"",reverse_shelfkey_t_stored_single
rollup_id,str,stored,single,"",rollup_id_str_stored_single
series_author,t,"","","",series_author_t
series_statement_indexed,t,"","","",series_statement_indexed_t
series_statement_issn,isbn,"","","",series_statement_issn_isbn
series_statement_other_ids,num,"","","",series_statement_other_ids_num
series_title,t,"","","",series_title_t
series_work_indexed,t,"","","",series_work_indexed_t
series_isbn,isbn,"","","",series_isbn_isbn
series_issn,num,"","","",series_issn_num
series_other_ids,str,"","","",series_other_ids_str
shelfkey,t,stored,single,"",shelfkey_t_stored_single
source_of_acquisition,t,stored,"","",source_of_acquisition_t_stored
statement_of_responsibility,t,stored,"","",statement_of_responsibility_t_stored
subject_chronological,tf,stored,"","",subject_chronological_tf_stored
subject_genre,tf,stored,"","",subject_genre_tf_stored
subject_geographic,tf,stored,"","",subject_geographic_tf_stored
subject_medical,tf,stored,"","",subject_medical_tf_stored
subject_topical,tf,stored,"","",subject_topical_tf_stored
subject_headings,tf,stored,"","",subject_headings_tf_stored
subseries_author,t,"","","",subseries_author_t
subseries_title,t,"","","",subseries_title_t
subseries_work_indexed,t,"","","",subseries_work_indexed_t
subseries_isbn,isbn,"","","",subseries_isbn_isbn
subseries_issn,num,"","","",subseries_issn_num
subseries_other_ids,str,"","","",subseries_other_ids_str
supplement_to_author,t,"","","",supplement_to_author_t
supplement_to_title,t,"","","",supplement_to_title_t
supplement_to_work_indexed,t,"","","",supplement_to_work_indexed_t
supplement_to_isbn,isbn,"","","",supplement_to_isbn_isbn
supplement_to_issn,num,"","","",supplement_to_issn_num
supplement_to_other_ids,str,"","","",supplement_to_other_ids_str
this_author,t,"","","",this_author_t
this_title,t,"","","",this_title_t
this_work_indexed,t,"","","",this_work_indexed_t
this_isbn,isbn,"","","",this_isbn_isbn
this_issn,num,"","","",this_issn_num
this_other_ids,str,"","","",this_other_ids_str
title_abbrev_indexed,t,"","","",title_abbrev_indexed_t
title_former_indexed,t,"","","",title_former_indexed_t
title_former_issn,num,"","","",title_former_issn_num
title_key_indexed,t,"","","",title_key_indexed_t
title_main,t,stored,single,"",title_main_t_stored_single
title_main_indexed,t,"","","",title_main_indexed_t
title_sort,str,"",single,sort,title_sort_ssort_single
title_variant_indexed,t,"","","",title_variant_indexed_t
translated_as_author,t,"","","",translated_as_author_t
translated_as_title,t,"","","",translated_as_title_t
translated_as_work_indexed,t,"","","",translated_as_work_indexed_t
translated_as_isbn,isbn,"","","",translated_as_isbn_isbn
translated_as_issn,num,"","","",translated_as_issn_num
translated_as_other_ids,str,"","","",translated_as_other_ids_str
translation_of_author,t,"","","",translation_of_author_t
translation_of_title,t,"","","",translation_of_title_t
translation_of_work_indexed,t,"","","",translation_of_work_indexed_t
translation_of_isbn,isbn,"","","",translation_of_isbn_isbn
translation_of_issn,num,"","","",translation_of_issn_num
translation_of_other_ids,str,"","","",translation_of_other_ids_str
upc_indexed,str,"","","",upc_indexed_str
url,str,stored,"","",url_str_stored
virtual_collection,tf,stored,"","",virtual_collection_tf_stored
volumes,t,stored,"","",volumes_t_stored
